onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.000	0.233	FIXA	1371.6	-29.3	1344.1	-7.5	0.450	21.912	0.827	2.762
0.233	0.067	SACC	1345.4	-7.5	1278.6	135.7	2.027	85.402	21.512	32.107
0.300	0.583	FIXA	1278.6	135.7	1264.3	145.8	0.225	6.405	1.665	1.693
0.883	0.117	SACC	1264.3	147.1	1371.3	231.1	1.745	85.184	1.001	16.927
1.000	0.233	FIXA	1371.3	231.1	1369.0	236.2	0.072	3.134	0.462	1.087
1.233	0.100	SACC	1370.0	236.0	1715.9	223.0	4.440	141.696	18.087	44.596
1.333	0.200	FIXA	1715.9	223.7	1720.5	232.7	0.130	4.014	0.895	1.264
1.533	0.050	SACC	1720.5	233.2	1379.0	219.2	4.384	134.201	129.073	87.886
1.583	0.150	FIXA	1379.0	219.2	1373.7	217.5	0.071	7.857	0.616	1.589
1.733	0.083	SACC	1373.7	211.2	1516.3	312.9	2.247	102.370	4.849	31.110
1.817	0.150	FIXA	1516.3	312.9	1512.6	311.6	0.050	6.648	1.539	1.919
1.967	0.117	SACC	1513.3	308.5	1303.1	285.6	2.712	146.314	8.047	25.425
2.083	0.233	FIXA	1303.1	285.3	1306.7	284.8	0.047	3.079	0.693	1.117
2.317	0.050	ISAC	1306.9	283.6	1396.2	299.2	1.163	56.852	13.161	23.650
2.367	0.133	PURS	1396.2	299.2	1400.8	298.4	0.060	1.924	0.269	0.513
2.500	0.100	SACC	1405.5	296.9	1548.4	400.0	2.260	97.807	2.906	23.835
2.600	0.200	FIXA	1548.4	400.0	1552.3	384.5	0.205	6.643	0.924	1.739
2.800	0.050	SACC	1552.3	392.2	1419.0	414.3	1.733	87.201	17.012	36.713
2.850	0.133	PURS	1419.0	414.3	1424.2	420.3	0.102	6.080	1.116	1.687
2.983	0.067	SACC	1424.2	415.7	1374.9	563.4	1.997	80.743	23.294	32.525
3.050	0.567	FIXA	1374.9	563.4	1376.1	541.4	0.283	7.276	1.036	1.497
3.617	0.083	SACC	1380.8	537.3	1000.9	129.7	7.148	318.095	32.722	103.228
3.700	0.017	HPSO	1000.9	129.7	1000.9	129.7	0.000	0.000	0.000	0.000
3.717	0.200	PURS	1382.5	289.0	1405.9	423.2	1.747	318.269	2.655	36.001
3.917	0.050	SACC	1404.4	425.6	1369.8	553.6	1.701	75.147	28.247	35.191
3.967	0.567	FIXA	1369.8	553.6	1374.1	561.0	0.110	5.752	1.270	1.790
4.533	0.083	SACC	1374.5	556.4	1286.1	609.3	1.322	64.198	3.554	17.614
4.617	0.200	FIXA	1286.1	609.3	1286.3	595.6	0.176	3.585	1.224	1.159
4.817	0.067	ISAC	1286.3	593.3	1372.8	590.6	1.110	53.646	6.582	17.145
4.883	0.200	FIXA	1372.8	590.6	1386.6	577.0	0.249	3.910	0.847	1.507
5.083	0.033	ISAC	1386.6	575.2	1374.1	556.4	0.290	17.376	9.381	9.381
5.117	0.133	PURS	1374.1	556.4	1383.4	555.9	0.119	2.386	1.078	1.155
5.250	0.067	SACC	1387.1	551.3	1266.4	586.2	1.612	75.175	13.477	25.532
5.317	0.150	FIXA	1266.4	586.2	1266.9	588.9	0.035	3.076	0.939	1.083
5.467	0.050	SACC	1266.9	591.0	1405.6	588.3	1.780	78.687	28.093	36.132
5.517	1.167	FIXA	1405.6	584.7	1441.5	571.8	0.489	13.714	1.616	1.848
