subject_id,game_difficulty,world_number,blink_start,blink_end,blink_duration
AL09OL,easy,0,2428.0,2508.0,80.0
AL09OL,easy,1,2862.0,2974.0,112.0
AL09OL,easy,1,3502.0,3678.0,176.0
AL09OL,easy,1,4494.0,4670.0,176.0
AL09OL,easy,1,9738.0,9905.0,167.0
AL09OL,easy,1,11038.0,11221.0,183.0
AL09OL,easy,1,12071.0,12205.0,134.0
AL09OL,easy,1,13555.0,13705.0,150.0
AL09OL,easy,1,14421.0,14621.0,200.0
AL09OL,easy,1,15638.0,15771.0,133.0
AL09OL,easy,1,16574.0,16719.0,145.0
AL09OL,easy,1,17983.0,18127.0,144.0
AL09OL,easy,1,19055.0,19215.0,160.0
AL09OL,easy,1,19967.0,20159.0,192.0
AL09OL,easy,1,20786.0,20994.0,208.0
AL09OL,easy,1,21442.0,21762.0,320.0
AL09OL,easy,1,22210.0,22370.0,160.0
AL09OL,easy,1,23458.0,23618.0,160.0
AL09OL,easy,1,24562.0,24690.0,128.0
AL09OL,easy,1,25362.0,25506.0,144.0
AL09OL,easy,1,26562.0,26706.0,144.0
AL09OL,easy,1,29344.0,29488.0,144.0
AL09OL,easy,1,30595.0,30723.0,128.0
AL09OL,easy,2,1114.0,1280.0,166.0
AL09OL,easy,2,1980.0,2264.0,284.0
AL09OL,easy,2,2731.0,2930.0,199.0
AL09OL,easy,2,5664.0,5780.0,116.0
AL09OL,easy,2,8830.0,8947.0,117.0
AL09OL,easy,2,11931.0,12049.0,118.0
AL09OL,easy,2,15397.0,15497.0,100.0
AL09OL,easy,2,16847.0,17114.0,267.0
AL09OL,easy,2,17397.0,17514.0,117.0
AL09OL,easy,2,17881.0,18114.0,233.0
AL09OL,easy,2,18497.0,18614.0,117.0
AL09OL,easy,2,20931.0,21031.0,100.0
AL09OL,easy,3,694.0,854.0,160.0
AL09OL,easy,3,2022.0,2182.0,160.0
AL09OL,easy,3,3948.0,4129.0,181.0
AL09OL,easy,3,6895.0,7029.0,134.0
