subject_id,game_difficulty,world_number,time,score,experience,game_status
AL09OL,easy,0,4204.0,15380.0,4,lost
AL09OL,easy,1,32555.0,15380.0,4,won
AL09OL,easy,2,21348.0,15380.0,4,won
AL09OL,easy,3,54597.0,15380.0,4,won
AL09OL,easy,4,33954.0,15380.0,4,won
AL09OL,easy,5,60578.0,15380.0,4,won
AL09OL,easy,6,24499.0,15380.0,4,won
AL09OL,easy,7,11547.0,15380.0,4,lost
AL09OL,easy,8,25900.0,15380.0,4,won
AL09OL,easy,9,52156.0,15380.0,4,won
AL09OL,easy,10,27998.0,15380.0,4,won
AL09OL,easy,11,70038.0,15380.0,4,won
AL09OL,easy,12,35006.0,15380.0,4,won
AL09OL,easy,13,23458.0,15380.0,4,lost
AL09OL,easy,14,74980.0,15380.0,4,timed_out
AL09OL,easy,15,8051.0,15380.0,4,won
AL09OL,easy,16,5245.0,15380.0,4,lost
AL09OL,easy,17,20312.0,15380.0,4,won
AL09OL,easy,18,12246.0,15380.0,4,lost
AL09OL,easy,19,33601.0,15380.0,4,won
AL09OL,normal,0,74975.0,15380.0,4,timed_out
AL09OL,normal,1,74971.0,15380.0,4,timed_out
AL09OL,normal,2,25217.0,15380.0,4,won
AL09OL,normal,3,43408.0,15380.0,4,won
AL09OL,normal,4,61979.0,15380.0,4,won
AL09OL,normal,5,53563.0,15380.0,4,won
AL09OL,normal,6,50757.0,15380.0,4,won
AL09OL,normal,7,2959.0,15380.0,4,lost
AL09OL,normal,8,20307.0,15380.0,4,won
AL09OL,normal,9,25905.0,15380.0,4,won
AL09OL,normal,10,35342.0,15380.0,4,won
AL09OL,normal,11,56033.0,15380.0,4,lost
AL09OL,normal,12,70016.0,15380.0,4,won
AL09OL,normal,13,45170.0,15380.0,4,won
AL09OL,normal,14,32906.0,15380.0,4,won
AL09OL,normal,15,6300.0,15380.0,4,lost
AL09OL,normal,16,30104.0,15380.0,4,won
AL09OL,normal,17,4194.0,15380.0,4,lost
AL09OL,normal,18,45500.0,15380.0,4,won
AL09OL,normal,19,5600.0,15380.0,4,lost
AL09OL,hard,0,74974.0,15380.0,4,timed_out
AL09OL,hard,1,31859.0,15380.0,4,won
AL09OL,hard,2,63365.0,15380.0,4,won
AL09OL,hard,3,56698.0,15380.0,4,lost
AL09OL,hard,4,68958.0,15380.0,4,won
AL09OL,hard,5,5943.0,15380.0,4,lost
AL09OL,hard,6,30445.0,15380.0,4,won
AL09OL,hard,7,6651.0,15380.0,4,lost
AL09OL,hard,8,40240.0,15380.0,4,won
AL09OL,hard,9,72118.0,15380.0,4,lost
AL09OL,hard,10,13646.0,15380.0,4,lost
AL09OL,hard,11,6649.0,15380.0,4,lost
AL09OL,hard,12,6649.0,15380.0,4,lost
AL09OL,hard,13,11208.0,15380.0,4,lost
AL09OL,hard,14,10141.0,15380.0,4,lost
AL09OL,hard,15,52511.0,15380.0,4,won
AL09OL,hard,16,7731.0,15380.0,4,lost
AL09OL,hard,17,14006.0,15380.0,4,lost
AL09OL,hard,18,74968.0,15380.0,4,timed_out
AL09OL,hard,19,11541.0,15380.0,4,lost
AN06AN,easy,0,51450.0,17543.0,4,won
AN06AN,easy,1,43399.0,17543.0,4,won
AN06AN,easy,2,40247.0,17543.0,4,won
AN06AN,easy,3,70353.0,17543.0,4,won
AN06AN,easy,4,34654.0,17543.0,4,won
AN06AN,easy,5,50417.0,17543.0,4,won
AN06AN,easy,6,44792.0,17543.0,4,won
AN06AN,easy,7,23097.0,17543.0,4,won
