subject_id,game_difficulty,world_number,ibi
AL09OL,easy,1,528.0
AL09OL,easy,1,816.0
AL09OL,easy,1,5068.0
AL09OL,easy,1,1133.0
AL09OL,easy,1,850.0
AL09OL,easy,1,1350.0
AL09OL,easy,1,716.0
AL09OL,easy,1,1017.0
AL09OL,easy,1,803.0
AL09OL,easy,1,1264.0
AL09OL,easy,1,928.0
AL09OL,easy,1,752.0
AL09OL,easy,1,627.0
AL09OL,easy,1,448.0
AL09OL,easy,1,448.0
AL09OL,easy,1,1088.0
AL09OL,easy,1,944.0
AL09OL,easy,1,672.0
AL09OL,easy,1,1056.0
AL09OL,easy,1,2638.0
AL09OL,easy,1,1107.0
AL09OL,easy,2,700.0
AL09OL,easy,2,467.0
AL09OL,easy,2,2734.0
AL09OL,easy,2,3050.0
AL09OL,easy,2,2984.0
AL09OL,easy,2,3348.0
AL09OL,easy,2,1350.0
AL09OL,easy,2,283.0
AL09OL,easy,2,367.0
AL09OL,easy,2,383.0
AL09OL,easy,2,2317.0
AL09OL,easy,3,1168.0
AL09OL,easy,3,1766.0
AL09OL,easy,3,2766.0
AL09OL,easy,3,3033.0
AL09OL,easy,3,733.0
AL09OL,easy,3,2750.0
AL09OL,easy,3,1166.0
AL09OL,easy,3,3750.0
AL09OL,easy,3,650.0
AL09OL,easy,3,1150.0
AL09OL,easy,3,600.0
AL09OL,easy,3,816.0
AL09OL,easy,3,400.0
AL09OL,easy,3,634.0
AL09OL,easy,3,434.0
AL09OL,easy,3,1700.0
AL09OL,easy,3,2850.0
AL09OL,easy,3,266.0
AL09OL,easy,3,533.0
AL09OL,easy,3,734.0
AL09OL,easy,3,1633.0
AL09OL,easy,3,224.0
AL09OL,easy,3,567.0
AL09OL,easy,3,433.0
AL09OL,easy,3,400.0
AL09OL,easy,3,532.0
AL09OL,easy,3,232.0
AL09OL,easy,3,498.0
AL09OL,easy,3,2433.0
AL09OL,easy,3,717.0
AL09OL,easy,3,1783.0
AL09OL,easy,3,853.0
AL09OL,easy,3,717.0
AL09OL,easy,3,1267.0
AL09OL,easy,3,583.0
AL09OL,easy,3,2134.0
AL09OL,easy,3,1150.0
AL09OL,easy,4,3200.0
AL09OL,easy,4,1344.0
AL09OL,easy,4,704.0
AL09OL,easy,4,464.0
AL09OL,easy,4,1792.0
AL09OL,easy,4,320.0
AL09OL,easy,4,853.0
AL09OL,easy,4,1554.0
AL09OL,easy,4,486.0
AL09OL,easy,4,3739.0
AL09OL,easy,4,1895.0
AL09OL,easy,4,1330.0
AL09OL,easy,4,592.0
AL09OL,easy,4,1378.0
AL09OL,easy,4,690.0
AL09OL,easy,4,1173.0
AL09OL,easy,4,459.0
AL09OL,easy,4,677.0
AL09OL,easy,4,1450.0
AL09OL,easy,4,2100.0
AL09OL,easy,4,1650.0
AL09OL,easy,4,331.0
AL09OL,easy,5,4256.0
AL09OL,easy,5,1568.0
AL09OL,easy,5,992.0
AL09OL,easy,5,433.0
AL09OL,easy,5,688.0
AL09OL,easy,5,1088.0
AL09OL,easy,5,2480.0
AL09OL,easy,5,448.0
AL09OL,easy,5,768.0
AL09OL,easy,5,416.0
AL09OL,easy,5,736.0
AL09OL,easy,5,768.0
AL09OL,easy,5,384.0
AL09OL,easy,5,400.0
AL09OL,easy,5,464.0
AL09OL,easy,5,224.0
AL09OL,easy,5,1136.0
AL09OL,easy,5,1184.0
AL09OL,easy,5,1024.0
AL09OL,easy,5,704.0
AL09OL,easy,5,512.0
AL09OL,easy,5,2352.0
AL09OL,easy,5,704.0
AL09OL,easy,5,400.0
AL09OL,easy,5,1218.0
AL09OL,easy,5,704.0
AL09OL,easy,5,816.0
AL09OL,easy,5,2528.0
AL09OL,easy,5,512.0
AL09OL,easy,5,464.0
AL09OL,easy,5,1408.0
AL09OL,easy,5,2032.0
AL09OL,easy,5,1744.0
AL09OL,easy,5,752.0
AL09OL,easy,5,560.0
AL09OL,easy,5,272.0
AL09OL,easy,5,384.0
AL09OL,easy,5,464.0
AL09OL,easy,5,624.0
AL09OL,easy,5,913.0
AL09OL,easy,5,1152.0
AL09OL,easy,5,528.0
AL09OL,easy,5,624.0
AL09OL,easy,5,800.0
AL09OL,easy,5,368.0
AL09OL,easy,5,544.0
AL09OL,easy,6,656.0
AL09OL,easy,6,560.0
AL09OL,easy,6,895.0
AL09OL,easy,6,2609.0
AL09OL,easy,6,6100.0
AL09OL,easy,6,1316.0
AL09OL,easy,6,783.0
AL09OL,easy,6,684.0
AL09OL,easy,6,1417.0
AL09OL,easy,6,1783.0
AL09OL,easy,6,883.0
AL09OL,easy,6,983.0
AL09OL,easy,7,267.0
AL09OL,easy,7,2216.0
AL09OL,easy,7,2666.0
AL09OL,easy,7,333.0
AL09OL,easy,7,250.0
AL09OL,easy,7,766.0
AL09OL,easy,8,3312.0
AL09OL,easy,8,3060.0
AL09OL,easy,8,2734.0
AL09OL,easy,8,749.0
AL09OL,easy,8,3200.0
AL09OL,easy,8,817.0
AL09OL,easy,8,433.0
AL09OL,easy,8,383.0
AL09OL,easy,8,617.0
AL09OL,easy,8,850.0
AL09OL,easy,8,650.0
AL09OL,easy,8,483.0
AL09OL,easy,8,784.0
AL09OL,easy,9,1936.0
AL09OL,easy,9,2224.0
AL09OL,easy,9,1474.0
