0; hard; world_11
1; easy; world_9
2; normal; world_0
3; easy; world_14
4; normal; world_9
5; normal; world_18
6; easy; world_19
7; hard; world_16
8; hard; world_2
9; easy; world_1
10; normal; world_7
11; hard; world_12
12; normal; world_14
13; normal; world_11
14; normal; world_1
15; hard; world_0
16; easy; world_16
17; hard; world_10
18; hard; world_3
19; hard; world_14
20; easy; world_17
21; normal; world_6
22; normal; world_2
23; hard; world_9
24; normal; world_13
25; easy; world_18
26; normal; world_10
27; hard; world_8
28; normal; world_4
29; easy; world_2
30; hard; world_6
31; easy; world_3
32; normal; world_19
33; hard; world_15
34; easy; world_11
35; normal; world_12
36; easy; world_5
37; hard; world_4
38; easy; world_12
39; hard; world_19
40; easy; world_10
41; easy; world_4
42; hard; world_7
43; normal; world_15
44; normal; world_16
45; easy; world_8
46; easy; world_0
47; hard; world_1
48; hard; world_5
49; hard; world_17
50; easy; world_13
51; hard; world_13
52; normal; world_5
53; normal; world_3
54; easy; world_6
55; normal; world_8
56; easy; world_15
57; easy; world_7
58; hard; world_18
59; normal; world_17
