0; hard; world_18
1; normal; world_15
2; easy; world_4
3; hard; world_6
4; normal; world_17
5; hard; world_7
6; easy; world_1
7; easy; world_2
8; normal; world_5
9; easy; world_5
10; hard; world_12
11; easy; world_6
12; easy; world_8
13; normal; world_12
14; hard; world_4
15; normal; world_9
16; easy; world_9
17; normal; world_0
18; hard; world_11
19; normal; world_16
20; easy; world_12
21; hard; world_9
22; hard; world_8
23; normal; world_11
24; hard; world_14
25; hard; world_17
26; hard; world_5
27; easy; world_17
28; hard; world_10
29; normal; world_8
30; easy; world_0
31; normal; world_7
32; normal; world_18
33; hard; world_16
34; normal; world_1
35; easy; world_18
36; easy; world_15
37; normal; world_10
38; easy; world_13
39; hard; world_0
40; easy; world_11
41; easy; world_14
42; easy; world_19
43; normal; world_3
44; easy; world_10
45; hard; world_19
46; normal; world_14
47; hard; world_15
48; normal; world_4
49; normal; world_13
50; normal; world_6
51; hard; world_3
52; hard; world_13
53; easy; world_7
54; normal; world_19
55; hard; world_2
56; easy; world_3
57; hard; world_1
58; easy; world_16
59; normal; world_2
