0; normal; world_3
1; easy; world_19
2; normal; world_0
3; easy; world_0
4; hard; world_9
5; easy; world_1
6; hard; world_13
7; easy; world_8
8; hard; world_0
9; normal; world_17
10; hard; world_6
11; hard; world_16
12; normal; world_18
13; normal; world_7
14; easy; world_15
15; hard; world_8
16; normal; world_14
17; hard; world_5
18; easy; world_13
19; hard; world_12
20; hard; world_7
21; easy; world_17
22; easy; world_7
23; hard; world_1
24; easy; world_9
25; easy; world_18
26; normal; world_4
27; easy; world_3
28; easy; world_6
29; normal; world_19
30; hard; world_3
31; easy; world_16
32; normal; world_9
33; hard; world_11
34; normal; world_1
35; easy; world_10
36; normal; world_16
37; hard; world_14
38; normal; world_5
39; normal; world_15
40; normal; world_6
41; hard; world_18
42; normal; world_10
43; normal; world_2
44; easy; world_5
45; normal; world_8
46; normal; world_11
47; easy; world_12
48; easy; world_2
49; easy; world_11
50; hard; world_4
51; easy; world_4
52; hard; world_19
53; normal; world_13
54; normal; world_12
55; hard; world_17
56; hard; world_2
57; hard; world_15
58; hard; world_10
59; easy; world_14
