subject_id,game_difficulty,world_number,level_score,score,standardized_level_score
AL09OL,easy,0,-100.0,15380.0,-100.0
AL09OL,easy,1,65.0,15380.0,65.0
AL09OL,easy,2,323.652,15380.0,323.652
AL09OL,easy,3,65.0,15380.0,65.0
AL09OL,easy,4,311.046,15380.0,311.046
AL09OL,easy,5,284.422,15380.0,284.422
AL09OL,easy,6,320.501,15380.0,320.501
AL09OL,easy,7,-100.0,15380.0,-100.0
AL09OL,easy,8,319.1,15380.0,319.1
AL09OL,easy,9,65.0,15380.0,65.0
AL09OL,easy,10,65.0,15380.0,65.0
AL09OL,easy,11,274.962,15380.0,274.962
AL09OL,easy,12,309.994,15380.0,309.994
AL09OL,easy,13,-100.0,15380.0,-100.0
AL09OL,easy,14,60.0,15380.0,60.0
AL09OL,easy,15,336.949,15380.0,336.949
AL09OL,easy,16,-100.0,15380.0,-100.0
AL09OL,easy,17,65.0,15380.0,65.0
AL09OL,easy,18,-100.0,15380.0,-100.0
AL09OL,easy,19,65.0,15380.0,65.0
AL09OL,normal,0,130.0,15380.0,65.0
AL09OL,normal,1,130.0,15380.0,65.0
AL09OL,normal,2,639.566,15380.0,319.783
AL09OL,normal,3,130.0,15380.0,65.0
AL09OL,normal,4,130.0,15380.0,65.0
AL09OL,normal,5,130.0,15380.0,65.0
AL09OL,normal,6,130.0,15380.0,65.0
AL09OL,normal,7,-100.0,15380.0,-100.0
AL09OL,normal,8,130.0,15380.0,65.0
AL09OL,normal,9,130.0,15380.0,65.0
AL09OL,normal,10,130.0,15380.0,65.0
AL09OL,normal,11,-100.0,15380.0,-100.0
AL09OL,normal,12,549.968,15380.0,274.984
AL09OL,normal,13,599.66,15380.0,299.83
AL09OL,normal,14,624.188,15380.0,312.094
AL09OL,normal,15,-100.0,15380.0,-100.0
AL09OL,normal,16,629.792,15380.0,314.896
AL09OL,normal,17,-100.0,15380.0,-100.0
AL09OL,normal,18,130.0,15380.0,65.0
AL09OL,normal,19,-100.0,15380.0,-100.0
AL09OL,hard,0,165.0,15380.0,55.0
AL09OL,hard,1,939.423,15380.0,313.141
AL09OL,hard,2,844.905,15380.0,281.635
AL09OL,hard,3,-100.0,15380.0,-100.0
AL09OL,hard,4,828.126,15380.0,276.042
AL09OL,hard,5,-100.0,15380.0,-100.0
AL09OL,hard,6,943.665,15380.0,314.555
AL09OL,hard,7,-100.0,15380.0,-100.0
AL09OL,hard,8,914.28,15380.0,304.76
AL09OL,hard,9,-100.0,15380.0,-100.0
AL09OL,hard,10,-100.0,15380.0,-100.0
AL09OL,hard,11,-100.0,15380.0,-100.0
AL09OL,hard,12,-100.0,15380.0,-100.0
AL09OL,hard,13,-100.0,15380.0,-100.0
AL09OL,hard,14,-100.0,15380.0,-100.0
AL09OL,hard,15,195.0,15380.0,65.0
AL09OL,hard,16,-100.0,15380.0,-100.0
AL09OL,hard,17,-100.0,15380.0,-100.0
AL09OL,hard,18,180.0,15380.0,60.0
AL09OL,hard,19,-100.0,15380.0,-100.0
AN06AN,easy,0,65.0,17543.0,65.0
AN06AN,easy,1,301.601,17543.0,301.601
AN06AN,easy,2,65.0,17543.0,65.0
AN06AN,easy,3,65.0,17543.0,65.0
AN06AN,easy,4,310.346,17543.0,310.346
AN06AN,easy,5,294.58299999999997,17543.0,294.58299999999997
AN06AN,easy,6,300.20799999999997,17543.0,300.20799999999997
AN06AN,easy,7,321.903,17543.0,321.903
AN06AN,easy,8,65.0,17543.0,65.0
AN06AN,easy,9,315.605,17543.0,315.605
AN06AN,easy,10,319.436,17543.0,319.436
AN06AN,easy,11,318.755,17543.0,318.755
AN06AN,easy,12,-100.0,17543.0,-100.0
AN06AN,easy,13,65.0,17543.0,65.0
AN06AN,easy,14,65.0,17543.0,65.0
AN06AN,easy,15,309.648,17543.0,309.648
AN06AN,easy,16,319.106,17543.0,319.106
AN06AN,easy,17,65.0,17543.0,65.0
AN06AN,easy,18,65.0,17543.0,65.0
AN06AN,easy,19,323.313,17543.0,323.313
AN06AN,normal,0,-100.0,17543.0,-100.0
AN06AN,normal,1,-100.0,17543.0,-100.0
AN06AN,normal,2,80.0,17543.0,40.0
AN06AN,normal,3,563.282,17543.0,281.641
AN06AN,normal,4,619.992,17543.0,309.996
AN06AN,normal,5,130.0,17543.0,65.0
AN06AN,normal,6,-100.0,17543.0,-100.0
